,title,text,tags
14,      Bottomup парсер на чистом питоне  ," Раз в два-три года я пробую делать какой-то новый парсер для русского языка. Последний раз это была неудачная  попытка прикрутить reinforcement learning для shift-reduce парсера , обучаемого на корпусе эталонных разборов. В этот раз за полтора месяца сделан прототип  восходящего вероятностного парсера  на чистом питоне. Морфология - внешняя сменяемая, сейчас это pymorphy2. К ней у меня масса претензий, так что видимо буду менять на свою оптимизированную  ruword2tags . Чтобы было веселее, токенизация тоже вероятностная, поэтому парсер может попутно убирать лишние разрывы слов или слившиеся слова, работая еще и как spellchecker. Впрочем, для эффективной обработки длинных предложений в чатботе надо будет перед парсером делать частеречную разметку и снимать все морфологические неоднозначности. Правила разбора задаются в текстовом файле, например так: 
 # ЗЛАЯ СОБАКА ЛАЕТ
# ^^^^^^^^^^^
NP('прил + сущ') ~1.2 ->
   a=AP[case] # так как сущ. может быть в локативе или партитиве, то наружу вытолкнем падеж прилагательного
 + n=NP[number, gender, 3per, gen_slot]
 agr: adj_n(a, n)
; 
 По задумке веса правил будут автоматически подбираться по эталонному tree bank'у с помощью какой-то реализации  expectation-maximization алгоритма . Результаты выглядят так (спасибо  питоновской обертке для Graphviz  за чудеса автоматической отрисовки графов). Иерархия составляющих: Дерево зависимостей:",bottomup parser||dependency parser||glr||восходящий разбор||парсер||синтаксис||синтаксический анализатор||синтаксический разбор
15,      Расширение поддержки русского языка в Duckling  ,"  Duckling  - библиотека от Facebook, позволяющая извлекать из текста структурированные данные. Например, с ее помощью из строки ""смартфон стоит двенадцать тысяч рублей"" можно выделить числительное ""двенадцать тысяч"". Попутно для извлеченной информации делается некоторая нормализация, то есть получим представление в числовом виде ""12000"". Помимо других альтернативных инструментов, Duckling можно использовать в фреймворке чатботов RASA для  NER . Чтобы ""пощупать"" этот экстрактор, нужно скачать репозиторий, скомпилировать, запустить rest-сервис. После чего через браузер или curl можно прокачивать тексты и видеть json-результаты. Попробуем: git clone  https://github.com/facebook/duckling cd duckling stack init stack build stack exec duckling-example-exe Команда  stack  это тулинг для хаскеля, на котором собственно и написан утенок. Сборка первый раз будет идти долго, так как будут скачиваться пакеты зависимостей, перечисленные в  duckling.cabal . Последняя команда запускает rest-сервис на  https://github.com/facebook/duckling . Чтобы увидеть результаты разбора, можно в новой консоли выполнить: curl -v -XPOST  http://0.0.0.0:8000/parse  -H ""Content-Type: application/x-www-form-urlencoded; charset=utf-8"" --data 'locale=ru_GB&text=три' Почему locale=ru_GB, а не ru_RU? На фоне остальных нюансов это лишь мелкая загадка, стоит это воспринимать просто как данность. Результат работы будет такой: [{""body"":""три"", ""start"":0, ""value"":{""value"":3,""type"":""value""}, ""end"":3, ""dim"":""number"", ""latent"":false}] Видим, что в обработанной строке найдена подстрока, распознанная как ""число"" - об этом говорит поле ""dim"":""number"". Помимо посимвольной привязки этой подстроки вернулось также нормализованное значение ""value"": 3 Все бы неплохо, но с поддержкой русского в Duckling совсем не айс. Попробуем сменить именительный падеж числительного на другой: curl -v -XPOST  http://0.0.0.0:8000/parse  -H ""Content-Type: application/x-www-form-urlencoded; charset=utf-8"" --data 'locale=ru_GB&text=тремя' Упс - результат разбора пустой. Утенок не знает падежные формы русских числительных :( Извлечение происходит с помощью набора правил, написанных на хаскеле. Не самый плохой язык для парсинга, хотя и явно не мейнстрим. Рекомендую перед написанием своих правил немного освоиться с синтаксисом. Достаточным будет, например,  вот этот курс . Читать можно прямо в браузере, если не нужен именно pdf, достаточно открывать страницы в  этой папке . Исходники на хаскеле местами будут напоминать птичий язык из-за постоянного использования пунктуационных символов в качестве основных синтаксических маркеров, но до какого-нибудь  APL  хаскелю, к счастью, далеко, так что нескольких часов будет достаточно для освоения. Чтобы начать улучшать поддержку русских числительных, идем в  исходник с правилами . Как видим, правила для каждого типа извлекаемой информации вынесена в отдельный каталог, да еще и разнесена на подкаталоги для разных языков, когда это требуется. Если пробежаться глазами по упоминанию числительных в этом исходнике, быстро станет понятна как причина плохой поддержки русского языка, так и пути ее улучшения. Достаточно добавлять падежные формы, не забывая правильно расширять регулярки. У меня основной источник раздражения и тяжелой фрустрации при отладке были именно регулярки. Если не вдаваться в подробности, то рекомендую придерживаться правила - задавая формы в regex-паттерне, сначала указывайте самые длинные, чтобы они матчились в первую очередь, типа такого: ruleInteger3 = Rule { name = ""integer 2"" , pattern = [ regex ""(двумя|двум|двух|два|две|двоих|двоими|д воим|двое|пара|паре|парой|пару|парочку|п арочка|парочкой)"" ] , prod = \_ -> integer 2 } Ну и помните, что регулярки коварны, опечатки в паттернах никак не ловятся компилятором хаскеля. И если, например, написать вместо | двойную ||, то полчаса игры в гляделки по коду гарантированы. Кстати, чтобы упростить расширение, рекомендую с самого начала не лениться и использовать тесты, благо вся инфраструктура уже есть. Во-первых, идем в  исходник Corpus.hs , где собраны тесты для проверки разбора русскоязычных числительных. По аналогии с имеющимися тестами вписываем там свои, например: , examples (NumeralValue (400)) [""четыреста"", ""четырехсот"", ""четырёхсот"", ""четыремстам"", ""четырёмстам"", ""четырехстах"", ""четырёхстах""] Далее, после любых изменений в правилах запускаем тесты командой в консоли: stack test В общем, при некотором упорстве и аккуратности, разбор числительных можно выправить. У меня форк утенка для запроса curl -v -XPOST  http://0.0.0.0:8000/parse  -H ""Content-Type: application/x-www-form-urlencoded; charset=utf-8"" --data 'locale=ru_GB&text=триста миллионов семнадцать тысяч четыреста' дает: [{""body"":""триста миллионов семнадцать тысяч четыреста"",""start"":0,""value"":{""value"":30 0017400,""type"":""value""},""end"":43,""dim"":""n umber"",""latent"":false}] Приложив некоторые дополнительные усилия, можно ввести также поддержку новых типов информации, но об этом я расскажу как нибудь в следующий раз.",duckling||haskell||ner||rasa
16,      а вот простейшая seq2seq модель для генерации реплик в читчат боте что выдает  ," После обучения на объединенном датасете диалогов из Толоки + мои датасеты для чатбота, модель, не учитывающая контекст, а только текст заданного вопроса, выдает такую ""болтовню"": :>кто ты научный трудоголик :>как тебя зовут меня зовут андрей а тебя ? :>чем занимаешься я работаю с больнице :>какую музыку любишь я люблю русскую музыку :>где ты живешь в поселке :>а работаешь где в в в городе :>какое пиво предпочитаешь преферанс :>как отдыхаешь хорошо Не знаю, откуда взялась реплика про ""научного трудоголика"", но выглядит все не так уж плохо. Может быть, после тюнинга, качество дойдет до уровня, чтобы работать в качестве fallback-генератора реплик в чатботе для случаев, когда в базе фактов не нашлась информация для нормального ответа.",sequence2sequence||диалоги||чатбот||читчат
17,"      Классификация интентов в чатботе - сравнение моделей ELMO, BERT и char-level linear sklearn  "," Сравнение выполнялось по f1 weighted метрике на  датасете  с ~5100 сэмплов через 8-фолдовую кросс-валидацию. Чуть больше 70 интентов с большим дисбалансом. Финальные результаты: LinearSVC ~0.77 BERT        ~0.815 ELMo        ~0.817 Базовая модель использует символьные шинглы длиной от 2 до 6 символов и  LinearSVC  для классификации. Выбор классификатора и параметры векторизации делались через grid search.  Исходный код доступен тут . Классификатор на базе BERT использует  многоязычную модель из проекта Deep Pavlov . Векторы от BERT поступают в однослойную нейросетку. Параметры и архитектура сетки подбиралась через grid search. Исходник тренера  доступен тут . Я не выкладываю его в реп, так как получающаяся модель еще никак не используется в самом чатботе. Классификатор на базе ELMO аналогичен BERT, только используется  ELMOEmbedder  из проекта Deep Pavlov.  Исходник тренера доступен тут . При этом модель на LinearSVC намного менее требовательна к ресурсам при обучении и инференсе, поэтому я пока не хочу подцеплять в чатботе более качественную ELMo.",bert||chatbot||elmo||embeddings||vector space model||чатбот
18,      Изменения в порядке генерации ответов в чатботе  ," В коде  релиза 0.0.2.2  кроме всяких правок ошибок и более точных NLP моделек сделана одна существенная модификация в генераторе ответов. Раньше  чатбот  на вопросы, относящиеся к нему ""лично"", генерировал ответ общим алгоритмом, то есть искал релевантный факт в базе знаний, брал отуда необходимый фрагмент и строил ответ. Выглядело это примерно так: H:> как тебя зовут? B:> Вика Теперь чатбот выдает полный текст найденного факта в качестве ответа: H:> как тебя зовут? B:> Меня зовут Вика Это позволяет избежать некоторых ошибок генерации ответа (куда же без них в машобучаемых генеративных модельках :( ). С другой стороны, так как пополнение базы фактов записями, описывающими факты по самому чатботу в одном из предыдущих релизов стало ваозможно только через ручное редактирование базы фактов, то эти факты чистые, не содержат избыточной информации, поэтому ответы чатбота выглядят вполне уместно. Люди, конечно, в таких ситуациях стараются все-таки экономить усилия собеседника и дают более краткие ответы, но будем считать это просто компромисом по качеству.",chatbot||chitchat||диалоги||чатбот
19,"      Релиз чатбота 0.0.1 (альфа) - вербальные формы, сценарии и прочее  "," В проекте русскоязычного чатбота сделан релиз с большими изменениями в коде бота. В основном работа велась над возможность задавать поведение бота через вручную задаваемые правила - сценарии и вербальные формы. 1) Базовая (proof-of-concept) поддержка  вербальных форм . Пример описания вербальной формы смотрите в разделе ""forms"" в файле  rules.yaml . Вербальная форма активируется по имени каким-нибудь правилом, содержащим актор ""form"" - см. подстроку keyword: 'заказать|заказ' в rules.yaml. В форме описывается набор ""полей"" - слотов, которые бот будет запрашивать у собеседника. В ходе обработки реплики для слота бот выполняется извлечение информации штатным NER. Выглядит это так: 
 B:> Привет
H:> закажи что-нибудь поесть
B:> Что заказать?
H:> пиццу с анчоусами
B:> Сколько порций?
H:> три
B:> Заказываю: что=""пиццу с анчоусами"", сколько=""три""
 Если какая-то информация для заполнения слотов содержится в инициирующей реплике, то она будет использована вербальной формой без лишних вопросов: 
 B:> Здравствуй
H:> закажи пиццу с колбасой
B:> Сколько порций?
H:> одну
B:> Заказываю: что=""пиццу с колбасой"", сколько=""одну""
 2) Базовая (proof-of-concept) поддержка  сценариев  - наборов правил для взаимодействия с пользователем в рамках какой-то ""темы"". См. раздел ""scenarios"" в файле rules.yaml, где сейчас описан тестовый сценарий ""знакомство"", активирующийся на реплике, похожей на ""давай познакомимся"". Выглядит это так: 
 B:> меня зовут Вика
B:> Где ты живешь?
H:> в москве
B:> Тебе нравится в Москве?
H:> да
B:> Чем ты занимаешься?
H:> работаю программистом
B:> Программисты это круто
B:> Какое у тебя хобби?
H:> рыбалка
B:> Рыба - это хорошо
B:> О чем ты хотел бы меня спросить?
 3) Добавлена возможность задавать правила, срабатывающие на ключевые слова (и их грамматические формы) - см. правила с подстрокой keyword в файле rules.yaml. Тестовое правило срабатывает при вводе реплики, похожей на ""давай познакомимся"" и запускает сценарий ""знакомство"". 4) Добавлена возможность задавать правила, срабатывающие по регулярному выражению - см. правила с подстрокой regex. Тестовое правило срабатывает при вводе реплики ""летим на LV-426"": 
 H:> летим на LV-426
B:> Увлекаешься ужастиками?
 5) Новый алгоритм интерпретации ответов собеседника. Теперь нейросетевая модель LSTM+CRF предсказывает цепочку команд для генеративной грамматики, которая восстанавливает полный текст ответа собеседника из текстов вопроса и краткого ответа. В обучающем датасете сейчас примерно 8000 троек вопрос+краткий ответ+развернутый ответ. 6) Отказ от лемматизации через pymystem, переход полностью на свой лемматизатор из  пакета rulemma . 7) Расширенные обучающие датасеты: модель перефразировок учится на отобранных вручную ~156 тысячах пар предложений, модель релевантности вопроса и предпосылки на ~45 тысячах пар и так далее. И последние изменения связаны с большой возней, которую пришлось затеять после попытки воткнуть вторую gtx-980 в систему с 18-й убунтой и gtx-1080ti на борту. В силу непонятных обстоятельств, убунта категорически отказалась работать в такой конфигурации, что выражалось в любимом ""login loop"" при старте. Это когда после ввода пароля в стартовой экране гуя он мигает и выводится снова. При этом консольная часть работала без проблем - можно было запустить обучение на двух гпушках и т.д. Все попытки отредактировать конфиг xorg и так далее ничего не давали. После этого я достал старый ssd и накатил туда новую 19-й убунту. После установки новой CUDA нормально завелись. Послежний штрих - самая свежая версия tensorflow. Через некоторое время я заметил, что в питоновских прогах логирование стало каким-то странным. Формат сообщений был другим, в консоли сообщения дублировались. Выяснилось, что это появляется только при импорте TF. Обнаружился и  соответствующий issue . Пришлось вставлять в код костыль с удалением обработчика от ABSL, чтобы прекратить кашу на экране. Ну и попутно - я добавил расцветку сообщений лога с помощью проекта  coloredlogs , подсмотрев это в RASA. И последнее, связанное с разгоном системы. Небольшой эксперимент с включением в биосе MSI опций разгона цпу и памяти дал совершенно неожиданный эффект. С одной стороны, код на цпу стал явно быстрее. Но при обучении на гпу я начал замечать странности. Во-первых, катастрофически упала сходимость моделей, они просто перестали достигать на валидации обычной точности. Через некоторое время обозначилась и причина - изредка, раз в сутки, появлялись фатальные ошибки с floating point. То есть повышенная частота системы приводила к сбоям в блоках плавающей точки цпу. На этом эксперименты с разгоном я прекратил.",chatbot||chitchat||диалоги||чатбот
20,      Вербальные формы в чатботе: в ближайшем релизе  ," Написанный для  чатбота  код для поддержки вербальных форм будет поддерживать такие ценарии общения с пользователем (реплики человека отмечены H:, реплики бота B:): B:> День добрый H:> хочу заказать что-нибудь поесть B:> Что заказать? H:> пиццу с анчоусами B:> Сколько порций? H:> две",диалоги||чатбот
21,      Релиз чатбота 0.0.0.16 - встраивание движка в RASA  ," В рамках этого  релиза   чатбота  я серьезно переработал исходный код и ""обиблиотечил"" движок. Теперь бот можно встраивать в питоновский код, как это показано на  примере интеграции с RASA . Для встраивания бота необходимо зарегистрировать пакет командой, находясь в корне скачанного проекта: pip install . После этого в питоновском коде появится возможность вызвать ruchatbot.create_qa_bot (см.  строку 43 ). Пути к папкам с профилем и моделями надо, разумеется, указать свои. Файлы моделей нужно взять из  докер-контейнера . Далее, нужно привязать вызов  обработчика события  к какому-нибудь  интенту  в  историях  RASA. Я сделал это так. В nlu.md добавил интент ""вопросы_к_боту"": 
 ## intent:вопросы_к_боту
какой ты?
как тебя зовут?
как твое имя?
звать-то тебя как?
скажи, как ты относишься к бананам
... (еще много сэмплов) ...
 И в stories.md: 
 ## вызов внешнего чатбота
* вопросы_к_боту
- action_qa
 Не забываем объявить интент и обработчик в домене (файл domain.yml): 
 intents:
...
  - вопросы_к_боту
...

actions:
...
  - action_qa
...
 Также нужно правильно указать адрес сервиса событий в endpoints.yml, к примеру у меня так: 
 action_endpoint:
    url: ""http://localhost:5055/webhook""
 После настройки и ""rasa train"" запускаем сервис обработки событий: 
 python -m rasa_sdk.endpoint --actions actions -p 5055
 Если все правильно сделано, то в логе увидим сообщения о загрузке чатбота: Далее, запускаем консоль RASA командой ""rasa shell"", задаем вопрос боту, видим ответ:",chatbot||chitchat||rasa||чатбот||читчат
22,      Мысли по поводу интеграции движка чатбота с RASA  ," В рамках рабочей задачи я сделал  кастомный компонент  для RASA, который выполняет классификацию интентов для фразы с помощью нейросетевой модели, работающей поверх русского BERT. В целом, все достаточно просто, если знать про некоторые технические нюансы. Например, не стоит делать ленивую загрузку модели в методе process, лучше это делать в конструкторе. И надо аккуратно относится к исключениям в process, иначе pipeline RASA склонен где-то зависать (там все на корутинах, как я понимаю). По смутным ощущениям, этот классификатор работает лучше, чем штатная модель SklearnIntentClassifier с добавкой символьных шинглов (CountVectorsFeaturizer), или чем EmbeddingIntentClassifier. Хотя намного тяжелее по памяти, конечно. Итак, теперь у нас есть следующие возможности интеграции с RASA, проверенные своими руками и примерами кода: 1) Кастомные обработчики событий ( Custom Actions ). Каждый такой обработчик оформляется в виде класса и может делать всякие полезные вещи, основываясь на свойствах сообщения. В самом простом варианте обработчик может вернуть текст ответной реплики. Обработчики работают в самом конце пайплайна, то есть получают уже обработанное сообщение с определенным интентом, выделенными entities и т.д. 2) Кастомные компоненты для пайплайна ( Custom Components ). Работают ""внутри"" пайплайна и могут выставлять какие-то признаки для обрабатываемого сообщения, например значения entities, модифицировать текст сообщения и т.д.",chatbot||rasa||чатбот
23,"      Оценки для задачи ""бинарная классификация - является ли реплика продолжением диалога""  "," Сделал оценки нескольких методов для определения, является ли реплика допустимым продолжением диалога. Датасет - Толока. Взято 100,000 реплик. (Был еще контест в 2018 от Я с похожей задачей, тамошний датасет, по-моему, грязноват в сравнении с Толокой.) В качестве истории бралась одна предшествующая фраза другого собеседника. Негативные сэмплы добавлялись в количестве 1 на 1 позитивный. Оценки получены кроссвалидацией на 3х фолдах. Baseline -  LinearSVC  на символьных шинглах roc auc=0.55 LightGBM на символьных шинглах ruc auc=0.645 Нейросетка поверх  pretrained ruBERT из deeppavlov  roc auc= 0.709",bert||диалоги||чатбот
24,      Немного болтовни с чатботом 0.0.0.13  ," В  новом релизе чатбота  в движке сделаны некоторые правки, чтобы получались (иногда) вот такие диалоги: 
 B:> Привет!
B:> День добрый
H:> привет
B:> Привет, о чем поговорим?
H:> меня зовут Илья
B:> Моего создателя тоже зовут Илья
H:> это круто
B:> :)
H:> а тебя как зовут
B:> вика
H:> приятно познакомиться
B:> Взаимно
H:> ты кто
B:> чатбот
H:> круто
B:> :)
H:> кто такой чатбот
B:> Чатбот это компьютерная программа, способная отвечать на вопросы пользователя, задаваемые на естественном языке.
B:> я чатбот
H:> а я программист
B:> Я уважаю программистов
H:> я разрабатываю чатботы
B:> Чатботы это круто
H:> что ты любишь
B:> вопросы
B:> животных я люблю
H:> а я люблю компьютеры
B:> Чем ты занимаешься с компьютерами ?
 Это уже намного ближе к обычной болтовне незнакомых людей, как, например, в этом датасете  Toloka Persona Chat Rus . То есть меньше механичности, больше импровизации и проактивности. Хотя косяков пока многовато - иногда (кхм, частенько) бот выдает малорелевантные реплики, иногда модели генерации текста поставляют мусор. Чтобы справится с этими косяками, нужна модель для оценки того, насколько реплика вписывается в общий дискурс диалога. Я попробовал сделать черновую модельку на базе  ELMO из deeppavlov  ( ElmoEmbedder ) плюс  линейный регрессор  для предсказания вектора следующей реплики, чтобы через cosine между предсказанным и фактическим вектором оценивать уместность реплики. Результат в целом нулевой, так как по метрике precision@k предсказанный вектор с трудом попадает в top-40% фраз, из которых одна - действительно релевантная. Следующая попытка - нейросетевой регрессор поверх BERT. Я проверил на  ruBERT из deeppavlov  плюс  keras-bert",bert||chatbot||deeppavlov||чатбот
25,      Профили в чатботе  ," В  новом релизе   чатбота  я добавил ""профили"" - текстовые файлы (json), в которых указываются пути к файлам с  фактами  и  правилами . С их помощью, думаю, будет проще создавать разные ""характеры"". В этих же профилях в будущем будут доступны тонкие настройки характера бота (ну не прямо как  тут , конечно, хотя...). Сейчас сделан  базовый отладочный профиль , который позволяет чатботу отвечать на десяток простых вопросов о самом себе, примерно так: 
 B:> День добрый
H:> кто ты
B:> чатбот
H:> что такое чатбот
B:> Чатбот это компьютерная программа, способная отвечать на вопросы пользователя, задаваемые на естественном языке.
H:> зачем нужны чатботы
B:> Чатбот используется для ответов посетителям сайтов, мессенджеров и социальных сетей.
H:> спасибо за пояснения
B:> пожалуйста
H:> как тебя зовут
B:> вика
H:> ты человек
B:> нет
H:> а меня зовут Илья
B:> Илья, хочешь что-нибудь рассказать мне?
H:> да
H:> как меня зовут?
B:> илья
 В этом профиле сменено имя чатбота - теперь это ""Вика"", раз уж виртуальные собеседники традиционно женского пола. Из более мелких изменений отмечу изменение формата датасета с интентами. Чтобы было проще экспериментировать параллельно с  RASA , я сделал почти такой же формат. Далее, теперь чатбот считает все реплики, относящиеся к нему лично, вопросами. Попросту говоря, если ввести "" ты человек "", то не смотря на отсутствие формальных признаков вопросительной модальности, движок бота не будет рассматривать это как утверждение, подлежащее занесению в базу знаний. Бот обработает реплику как вопрос, что в случае дефолтного профиля приведет к ответу ""нет"". А вот если сказать ему "" меня зовут Илья "", то это будет считаться фактом, который сохраняется в базе знаний. Это видно из тестового диалога - чатбот потом может ответить, как зовут его собеседника.",диалоги||чатбот
26,"      NER датасет из каггла ""text-normalization-challenge-russian-language""  ","  Вот эти данные  для entity типа DATA содержат огромное количество строк типа Проверено 1 января 2016 . International Renaissance Foundation. Проверено 16 января 2016 . Смотрим телевизор . | 16 января 2016 Проверено 21 февраля 2016 . Текмаш отметил 160 летие . | 21 февраля 2016 Уверен на 100%, что данные получены простой конвертацией викиданных из русской Википедии. Возможно, для некоторых моделей NER перекос в статистике паттернов будет снижать немного их качество. Ну и мусора там, конечно, прилично: People ( 27 августа 2001 ) . Deadline.com ( 17 ноября 2014 ) . ESCToday ( 19 марта 2012 ) . и т.д.",dataset||kaggle||ner
27,"      RASA, spacy, русский язык и NER  "," После трех дней осады и борьбы, у меня заработала связка из текущей версии  RASA  и spacy (я взял  готовые модели для русского языка , спасибо Юрию за помощь :) ). Кроме того, я сделал конвертор для своего  NER датасета  в формат для обучения Spacy NER. После пары часов получилось дообучить спейсовский NER, взяв за основу  код отсюда : 
 Sentence: ""Сегодня неплохая погода.""
Shape    Vocab    POS    Text      Lemma     Entity          Dep     Head
-------  -------  -----  --------  --------  --------------  ------  ------
Xxxxx    +        ADV    Сегодня   сегодня   когда: Сегодня  advmod  погода
xxxx     +        ADJ    неплохая  неплохой                  amod    погода
xxxx     +        NOUN   погода    погода                    ROOT    погода
.        +        PUNCT  .         .                         punct   погода
 Затем получилось в своем custom action обработчике, настроенном на intent ""прогноз_погоды"", получить извлеченный entity: 
 class ActionHelloWorld(Action):

    def name(self) -> Text:
        return ""action_weather""

    def run(self, dispatcher: CollectingDispatcher,
            tracker: Tracker,
            domain: Dict[Text, Any]) -> List[Dict[Text, Any]]:

        try:
            sinopsis_date = next(tracker.get_latest_entity_values(u'когда'), None)
            dispatcher.utter_message(u""Прогноз погоды на дату: {}"".format(sinopsis_date))
        except:
            dispatcher.utter_message(u""Прогноз погоды - слот даты не найден"")

        return []
 В итоге получилось черновое решение с обработкой реплики ""Какая погода будет завтра?"": 
 Your input ->  какая погода будет завтра?                                                                                                    
Прогноз погоды на дату: завтра
 
",chatbot||named entry recognition||ner||spacy||чат-боты||чатбот
28,"      Еще датасеты со словосочетаниями, короткими и неполными предложениями  "," В добавок к  этому , залил в  репозиторий  старые (2015 год) залежи. В то время они были собраны для проверки синтаксияеского парсера. Например,  S+V+INSTR.zip  содержит сэмплы типа ""Я вертел ими"", в которых творительный падеж актанта однозначен, то есть эти сэмплы однозначно определяют соответствующий слот у глаголов. Еще любопытный пример - конструкции с  местоимениями ""я"" и ""ты"" в роли подлежащего и личным глаголом свидетельствуют о том, что глагол употребляется с одушевленным субъектом. Сейчас хочу использовать эти данные для обучения языковых моделей чатбота, но, возможно, они кому-то еще пригодятся. Disclaimer: все датасеты собраны автоматически, без ручной выверки, поэтому содержат некоторое количество шума. Архив  PRN+PreposAdj+V.zip  содержит сэмплы вида: 
 Я на автобус опоздаю
Я из автобуса пришел
Мы из автобуса вышли
Я из автобуса вышла
Я из автобуса видел
Я на автобусах езжу
Они на автобусах приезжают
Мы на автобусах объездили
 Архив  adv+verb.zip  содержит пары наречие+глагол в личной форме: 
 ПРЯМО АРЕСТОВАЛИ
ЛИЧНО атаковал
Немо атаковал
Ровно атаковала
Сегодня АТАКУЕТ
Ближе аттестует
Юрко ахнул
 Архив  adj+noun.zip  содержит сэмплы типа: 
 ПОЧЕТНЫМ АБОНЕНТОМ
Вашим абонентом
Калининским абонентом
Калининградских аборигенов
Тунисских аборигенов
Байкальских аборигенов
Марсианских аборигенов
Голландские аборигены
 Архив  prep+noun.zip  содержит такие паттерны: 
 У аборигенных народов
У аборигенных кобыл
Из аборигенных пород
С помощью аборигенов
На аборигенов
Для аборигенов
От аборигенов
У аборигенов
 Архив  S+V.zip  содержит образцы такого вида: 
 Мы абсолютно не отказали.
Мужчина абсолютно не пострадал.
Они абсолютно совпадают.
Михаил абсолютно не рисковал.
Я абсолютно не выспалась.
Они абсолютно не сочетаются.
Я абсолютно не обижусь...
 В архиве  S+V+INF.zip  находятся такие образцы: 
 Заславский бахвалился превратить
Ленка бегает поспать
Она бегает умываться
Альбина бегает мерить
Вы бегаете жаловаться
Димка бегал фотографироваться
 Архив  S+V+INDOBJ.zip  содержит автоматически собранные паттерны подлежащее+глагол+предлог+существительно е: 
 Встревоженный аббат пошел навстречу мэру.
Бывший аббат превратился в настоятеля.
Старый Абдуррахман прохаживался возле дома.
Лопоухий абориген по-прежнему был в прострации.
Высокий абориген вернулся с граблями;
Сморщенный абориген сидел за столиком.
 В архиве  S+V+ACCUS.zip   находятся сэмплы такого вида: 
 Мой агент кинул меня.
Ричард аккуратно поднял Диану.
Леха аккуратно снял Аленку...
Они активируют новые мины!
Адмирал активно поддержал нас.
 Архив  S+V+INSTR.zip   содержит сэмплы: 
 Я вертел ими
Они вертели ими
Вы вертели мной
Он вертит нами
Она вертит тобой
Она вертит мной
Он вертит ими
Она вертит ими
 Архив  S+INSTR+V.zip  содержит такие сэмплы: 
 Я тобой брезгую
Они ими бреются
Они ими вдохновляются
Мы ими вертим
Она тобой вертит
Он мной вертит
Он ими вертит
 
",датасеты
